Country of Origin,Variety,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Defects,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects,is_specialty
"Tanzania, United Republic Of",Bourbon,Washed / Wet,7.92,7.67,7.42,7.5,7.67,7.58,10.0,10.0,10.0,0.0,10.4,0,0,greenish,8,1
Brazil,Mundo Novo,Natural / Dry,7.58,7.5,7.5,7.83,7.67,7.5,10.0,10.0,10.0,0.0,11.6,0,0,green,4,1
Taiwan,unknown,Washed / Wet,7.75,7.75,7.58,7.67,7.42,7.5,10.0,10.0,10.0,0.0,9.6,0,0,green,1,1
Colombia,"Red Bourbon,Caturra",Anaerobico 1000h,7.67,7.67,7.58,7.67,7.58,7.58,10.0,10.0,10.0,0.0,10.9,0,0,brownish,2,1
Honduras,Lempira,Washed / Wet,7.67,7.75,7.67,7.58,7.5,7.58,10.0,10.0,10.0,0.0,10.5,0,0,bluish-green,3,1
Honduras,Catuai,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.58,10.0,10.0,10.0,0.0,11.3,0,1,green,5,1
Taiwan,Typica,Natural / Dry,7.75,7.75,7.5,7.75,7.5,7.42,10.0,10.0,10.0,0.0,9.7,0,0,greenish,2,1
Taiwan,unknown,Washed / Wet,7.67,7.67,7.5,7.58,7.58,7.5,10.0,10.0,10.0,0.0,11.8,0,0,blue-green,0,1
Laos,Catimor,Natural / Dry,7.67,7.75,7.33,7.67,7.58,7.5,10.0,10.0,10.0,0.0,11.8,0,0,brownish,7,1
Honduras,Catuai,Washed / Wet,7.67,7.67,7.5,7.58,7.58,7.5,10.0,10.0,10.0,0.0,10.6,0,2,green,7,1
Honduras,Catuai,Washed / Wet,7.75,7.58,7.58,7.58,7.58,7.5,10.0,10.0,10.0,0.0,9.6,0,0,green,2,1
Colombia,Caturra,Washed / Wet,8.0,7.67,7.42,7.58,7.58,7.42,10.0,10.0,10.0,0.0,13.1,0,0,bluish-green,1,1
Taiwan,Typica,Pulped natural / honey,7.5,7.67,7.58,7.58,7.5,7.5,10.0,10.0,10.0,0.0,8.9,0,0,blue-green,0,1
Mexico,Bourbon,Washed / Wet,7.75,7.5,7.42,7.67,7.58,7.5,10.0,10.0,10.0,0.0,11.9,2,0,green,1,1
Colombia,Typica Gesha,Washed / Wet,7.58,7.5,7.5,7.67,7.58,7.5,10.0,10.0,10.0,0.0,11.5,0,1,greenish,3,1
Honduras,Catuai,Washed / Wet,7.67,7.58,7.5,7.5,7.58,7.5,10.0,10.0,10.0,0.0,10.0,0,0,green,4,1
Thailand,Gayo,Washed / Wet,7.17,7.92,7.58,7.5,7.58,7.67,10.0,10.0,10.0,0.0,11.8,0,0,yellow-green,5,1
Vietnam,Catimor,Pulped natural / honey,7.58,7.42,7.58,7.5,7.67,7.75,10.0,10.0,10.0,0.0,13.3,0,0,green,4,1
Nicaragua,SHG,Natural / Dry,7.33,7.58,7.25,7.33,7.75,8.17,10.0,10.0,10.0,0.0,10.5,5,2,green,1,1
Costa Rica,SL28,Pulped natural / honey,7.33,7.5,7.25,7.92,7.75,7.58,10.0,10.0,10.0,0.0,11.8,0,0,pale yellow,1,1
Colombia,Caturra,Washed / Wet,7.58,7.67,7.58,7.5,7.33,7.5,10.0,10.0,10.0,0.0,11.8,0,1,green,2,1
Thailand,Caturra,Washed / Wet,7.33,7.58,7.58,7.5,7.67,7.67,10.0,10.0,10.0,0.0,13.0,1,0,greenish,0,1
Thailand,"Bourbon, Catimor, Caturra, Typica",Natural / Dry,7.5,7.58,7.5,7.42,7.5,7.58,10.0,10.0,10.0,0.0,11.2,0,0,yellow green,0,1
Honduras,Catuai,Washed / Wet,7.67,7.58,7.33,7.5,7.58,7.5,10.0,10.0,10.0,0.0,9.6,0,0,green,2,1
Taiwan,unknow,Natural / Dry,7.67,7.67,7.42,7.42,7.42,7.5,10.0,10.0,10.0,0.0,9.8,0,0,green,0,1
Taiwan,Caturra,Washed / Wet,7.67,7.58,7.42,7.42,7.5,7.5,10.0,10.0,10.0,0.0,8.4,0,0,blue-green,2,1
Nicaragua,Parainema,Washed / Wet,7.5,7.58,7.42,7.58,7.5,7.58,10.0,10.0,10.0,0.0,10.1,0,0,green,0,1
El Salvador,Bourbon,Washed / Wet,7.67,7.33,7.17,7.67,7.83,7.5,10.0,10.0,10.0,0.0,11.3,0,0,green,2,1
Panama,Caturra,Washed / Wet,7.75,7.67,7.17,7.67,7.42,7.42,10.0,10.0,10.0,0.0,10.0,0,0,green,0,1
Brazil,Mundo Novo,Natural / Dry,7.5,7.58,7.5,7.5,7.67,7.42,10.0,10.0,10.0,0.0,11.8,0,1,bluish-green,1,1
United States (Hawaii),Maragogype,Washed / Wet,7.33,7.58,7.5,7.5,7.5,7.58,10.0,10.0,10.0,0.0,11.7,0,0,blue-green,1,1
Mexico,Pacamara,Washed / Wet,7.67,7.42,7.5,7.5,7.67,7.42,10.0,10.0,10.0,0.0,10.7,0,0,pale yellow,0,1
Honduras,Catuai,Washed / Wet,7.58,7.58,7.33,7.5,7.58,7.42,10.0,10.0,10.0,0.0,10.6,0,0,green,8,1
Taiwan,unknown,Washed / Wet,7.42,7.42,7.58,7.42,7.58,7.5,10.0,10.0,10.0,0.0,8.4,0,0,green,2,1
Nicaragua,Caturra-Catuai,Washed / Wet,7.58,7.58,7.42,7.42,7.5,7.5,10.0,10.0,10.0,0.0,11.4,0,0,bluish-green,0,0
Vietnam,Catimor,Washed / Wet,7.5,7.5,7.33,7.5,7.5,7.42,10.0,10.0,10.0,0.0,10.5,0,0,bluish-green,0,0
El Salvador,Bourbon,Washed / Wet,7.5,7.5,7.42,7.42,7.42,7.67,10.0,10.0,10.0,0.0,12.0,0,7,green,10,0
El Salvador,Bourbon,Washed / Wet,7.33,7.67,7.25,7.67,7.83,7.42,10.0,10.0,10.0,0.0,11.8,0,0,bluish-green,0,0
Taiwan,unknown,Natural / Dry,7.67,7.58,7.42,7.5,7.33,7.42,10.0,10.0,10.0,0.0,10.8,0,0,green,1,0
Peru,Caturra,Washed / Wet,7.67,7.5,7.33,7.58,7.33,7.42,10.0,10.0,10.0,0.0,11.7,0,1,greenish,3,0
United States (Hawaii),Typica,Washed / Wet,7.75,7.42,7.33,7.5,7.33,7.5,10.0,10.0,10.0,0.0,10.6,1,0,green,5,0
Kenya,"SL28,SL34,Ruiru11",Washed / Wet,7.5,7.5,7.42,7.5,7.25,7.5,10.0,10.0,10.0,0.0,11.2,0,0,green,2,0
Honduras,Catuai,Washed / Wet,7.67,7.5,7.25,7.5,7.5,7.33,10.0,10.0,10.0,0.0,10.6,0,0,green,8,0
Taiwan,unknown,Washed / Wet,7.5,7.67,7.33,7.5,7.25,7.33,10.0,10.0,10.0,0.0,9.7,0,0,bluish-green,0,0
Taiwan,unknown,Pulped natural / honey,7.33,7.42,7.42,7.5,7.42,7.5,10.0,10.0,10.0,0.0,8.1,0,0,greenish,3,0
Taiwan,unknown,Washed / Wet,7.5,7.58,7.42,7.42,7.25,7.42,10.0,10.0,10.0,0.0,8.2,0,0,green,1,0
Thailand,Catimor,Washed / Wet,7.17,7.5,7.42,7.42,7.58,7.5,10.0,10.0,10.0,0.0,9.8,0,0,green,0,0
Costa Rica,Caturra,Washed / Wet,7.42,7.42,7.42,7.33,7.58,7.33,10.0,10.0,10.0,0.0,10.5,1,2,green,8,0
Peru,Caturra,Washed / Wet,7.5,7.5,7.33,7.5,7.33,7.33,10.0,10.0,10.0,0.0,11.6,0,2,greenish,2,0
Guatemala,Caturra,Washed / Wet,7.33,7.42,7.33,7.42,7.58,7.42,10.0,10.0,10.0,0.0,10.3,0,0,greenish,1,0
Taiwan,Typica,Pulped natural / honey,7.25,7.42,7.42,7.5,7.42,7.42,10.0,10.0,10.0,0.0,11.3,0,0,green,0,0
Vietnam,Catimor,Pulped natural / honey,7.5,7.5,7.25,7.42,7.42,7.42,10.0,10.0,10.0,0.0,11.2,0,0,green,4,0
Brazil,Yellow Catuai,Pulped natural / honey,7.5,7.5,7.42,7.33,7.33,7.33,10.0,10.0,10.0,0.0,11.3,0,0,pale yellow,2,0
Brazil,Catucai,Natural / Dry,7.42,7.5,7.58,7.33,7.33,7.25,10.0,10.0,10.0,0.0,11.1,0,0,yellow-green,0,0
